num_interests,audience
1,296200000
2,292500000
3,101300000
4,99600000
5,99600000
6,95200000
7,95200000
8,72500000
9,52300000
10,48300000
11,14000000
12,5000000
13,5000000
14,3200000
15,3200000
16,3200000
17,3200000
18,3200000
19,2800000
20,2700000
21,2700000
22,1800000
23,1700000
24,1600000
1,431700000
2,400900000
3,154900000
4,154900000
5,94500000
6,92500000
7,92500000
8,12700000
9,12700000
10,8300000
11,8300000
12,8300000
13,8100000
14,7400000
15,7300000
16,2300000
17,2300000
18,2300000
19,2300000
20,2300000
21,1300000
22,1300000
23,1300000
24,1300000
1,96100000
2,96000000
3,88400000
4,23700000
5,23700000
6,23700000
7,22100000
8,22100000
9,18200000
10,14200000
11,13500000
12,13000000
13,13000000
14,13000000
15,13000000
16,2400000
17,2400000
18,1500000
19,1500000
20,1500000
21,1500000
22,1400000
23,1400000
24,1400000
1,352500000
2,324300000
3,249300000
4,159400000
5,132200000
6,6800000
7,4500000
8,4400000
9,4400000
10,4400000
11,4400000
12,4400000
13,4200000
14,4100000
15,3100000
16,3000000
17,2700000
18,2700000
19,2700000
20,404300
21,361100
22,188300
23,187400
24,183200
1,426800000
2,264100000
3,216300000
4,183600000
5,1100000
6,1100000
7,1100000
8,806300
9,630200
10,522100
11,522100
12,522100
13,520600
14,520600
15,520600
16,75100
17,75100
18,74700
19,74700
20,73000
21,66900
22,66900
23,66900
24,66500
1,715400000
2,377600000
3,374900000
4,156300000
5,156300000
6,156300000
7,153000000
8,47900000
9,7000000
10,6900000
11,6900000
12,157500
13,20500
14,15800
15,1700
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
1,419500000
2,93900000
3,90200000
4,75000000
5,75000000
6,61900000
7,61700000
8,61400000
9,58700000
10,58700000
11,39400000
12,34800000
13,20000000
14,20000000
15,20000000
16,18600000
17,14400000
18,14500000
19,13500000
20,13400000
21,13400000
22,11400000
23,11300000
24,11300000
1,419500000
2,7700000
3,7600000
4,7300000
5,6900000
6,6900000
7,4300000
8,1400000
9,1300000
10,1300000
11,1300000
12,688100
13,182700
14,182700
15,182600
16,178500
