num_interests,reach
1,11715.379935383
2,11008.553842794
3,17258.238982575
4,15920.737480432
5,18163.402475024
6,15758.820447581
7,15758.820447581
8,9293.1697162045
9,7256.9174060877
10,5674.741771699
11,1938.982530902
12,305.94364557327
13,268.02528403507
14,238.79632893798
15,231.17061943937
16,242.30315138684
17,189.2993370013
18,242.3031512586
19,150.3787821026
20,145.00811103273
21,190.38526471715
22,146.11897973724
23,185.56843938507
24,142.07890100285
1,4924.9527794703
2,6966.7349272629
3,19835.322088875
4,19835.322088875
5,125.93450010105
6,118.33845085995
7,118.33845085916
8,394.94302137316
9,417.8460295073
10,28.125010189948
11,28.125010189948
12,28.87501046168
13,28.179226993378
14,17.634454446811
15,4.7835464968711
21,138.62616325357
22,138.62616325357
23,138.62616325357
24,138.62616325357
1,188.90527228396
2,6603.4482157313
3,3480.6389595527
4,854.25496513352
5,750.82740959167
6,881.09433395855
7,931.15932580669
8,931.15932580669
9,767.17574967614
10,63.488835722325
11,800.92023059057
12,552.64096359161
13,552.64096359161
14,552.64096359161
15,685.27479482392
16,266.69487328232
17,341.36943780137
18,1.2286346356469
19,1.2286346356469
20,0.92159116835474
21,0.92159116835474
22,0.90492632734714
23,1.0676323582422
24,1.1969182484809
1,24569.933879313
2,13318.179689243
3,9488.9784610406
4,1292.1118647632
5,540.58756667477
6,791.70598966704
7,477.04082897299
8,109.47814012292
9,109.47814012292
10,109.47814012292
11,109.47814012292
12,109.47814011899
13,72.530301794926
14,72.530301593003
15,130.54570600443
16,360.27763840062
17,387.50948625704
18,284.65564863935
19,284.65564863935
20,742.9872270425
21,737.599959802
22,1098.0440051257
23,1069.7156721678
24,907.96312822513
1,5190.4368099235
2,4033.8759817265
3,12346.761130909
4,27516.393949562
5,452.15438523999
6,597.53741370412
7,297.33317195463
8,642.0862410799
9,473.14491593891
10,555.48896435689
11,555.48896435689
12,555.48896435689
13,555.15122301141
14,555.15122301141
15,555.24824331833
16,406.78566524994
17,383.95117477631
18,384.17398442811
19,382.35758187658
20,180.18501567372
21,297.32631837352
22,297.32631837352
23,296.14646866659
24,296.33565150046
1,4308.8609811266
2,48699.16315457
3,62070.968917127
4,6952.3491745919
5,6952.3491745919
6,6952.3491745919
7,20687.780550555
8,325.91864788996
9,7.0566560675351
10,6.9558466783819
11,6.9558466783819
12,606.15495864372
13,26.337352409746
14,38.407321261134
1,5963.274267395
2,9760.3031656063
3,11429.83320914
4,9254.6528920341
5,9254.6528918162
6,7100.8751400687
7,7077.9320861044
8,7665.9967077341
9,6282.8155495876
10,6282.8155495876
11,5919.3906477077
12,378.28578415009
13,714.05321733186
14,714.05321730531
15,714.05321729804
16,713.61916751455
17,229.9587263528
18,231.55566195257
19,176.78768361529
20,311.85156895509
21,407.02133473501
22,599.88565076864
23,769.30730898111
24,769.30730898111
1,5963.274267395
2,25.556908659969
3,29.666620404368
4,31.33653150832
5,28.10521896056
6,28.10521896056
8,261.49385855794
9,377.20547274421
10,401.37323205137
11,411.74383844636
12,919.48966608553
13,679.34058049337
14,648.96921047853
15,657.71831561487
16,667.84048291824
17,368.63703060207
18,433.28856165304
19,423.6816085325
20,420.59238561287
21,420.4268834254
22,420.4268834254
23,420.4268834254
24,420.4268834254
1,5963.274267395
2,3849.6850615561
3,3075.6066206274
4,1459.5169796247
5,1473.0971704217
6,557.66029537616
7,557.66029537616
8,219.39546991985
9,190.14701341446
10,244.60669029698
11,1279.898109128
12,2829.7284787673
14,5.242242803707
15,673.47322742544
16,681.07534448356
17,358.50050069131
18,365.41151535175
19,717.81612346971
20,310.599774542
21,441.43934059859
22,460.90688044221
23,367.80877451747
24,473.31932509628
1,3194.9473527801
2,43501.617662243
3,43501.617662243
4,60708.737198911
6,19377.906817403
7,81.737610870081
8,85.11444636871
10,25.443864090052
11,16.627534367394
12,505.00822104569
13,444.91523834619
14,451.6812169654
15,451.6812169654
16,473.35207920836
17,473.35207920836
18,473.35207920836
19,473.35207920836
20,473.3520791665
21,473.3520791665
22,473.3520791665
23,473.3520791665
24,34.364373767851
1,5121.1794569676
2,2736.4203471891
3,1874.7955715237
4,7500.220685649
5,358.12834552049
6,1101.9747559101
7,1392.3724089855
8,2948.7945925821
9,2948.7945925818
10,4456.5469154852
11,2111.6783295357
12,1692.7623856042
14,2339.2005687118
15,850.33189421556
16,798.00565287813
17,798.00565287813
18,798.00565276635
19,1545.043580198
20,1148.1643693724
21,859.26596549827
22,644.02114118312
23,700.67298628297
24,650.46298724281
1,8031.8882037752
2,7900.2075510104
3,209.71734727832
4,382.79887570544
5,1421.7609781277
6,1421.7609781277
7,613.68472632189
8,687.36922992168
9,769.53855175631
10,1378.997474449
11,1449.883447683
12,1449.883447683
13,1449.883447683
14,1693.8263140217
15,1693.8263140217
16,220.68689320624
17,38.161487105396
18,32.325023156651
19,31.726411517194
20,31.726411516167
21,31.726411429251
22,31.726411429251
23,3258.0016694138
24,2742.0242138853
1,5404.5340497782
2,13030.471175442
3,11915.601370429
4,14487.159124882
5,29005.276310395
6,29005.276310395
7,30820.321184065
8,2658.4872618547
9,2914.5494125286
10,3815.2395400124
11,3565.3477835406
12,390.48074105041
13,499.33053386021
14,586.40194532589
15,586.40194532589
16,586.40194532589
17,670.48158831978
18,31.846628391927
19,31.846628391927
20,63.693256783859
21,250.7632115616
22,17.161396259902
23,205.70465381823
24,558.99664331938
1,5404.5340497782
2,5939.3549368054
3,5024.7672008578
4,6191.5013800878
5,6191.5013800878
6,6075.3772672595
7,5905.173878775
8,4514.5614534381
9,3990.08035715
11,51.714089584343
12,802.54069283263
13,19.180757700939
14,16.840248547141
15,16.840248547141
16,18.995088604284
17,18.221719699083
18,18.221719699083
19,18.221719699083
20,18.221719699136
21,18.221719690966
22,15.024926209751
23,15.024926209751
24,15.024926209751
1,5404.5340497782
2,3849.6850615561
3,3830.7273215353
4,2096.3515582622
5,1482.4431651908
6,1667.8490641942
7,1508.7326380703
8,552.53743169838
9,552.53743169838
10,5741.2840414451
11,129.70989350306
12,1719.7975677146
13,147.63073027384
14,2543.2001686875
15,3012.9577669177
16,4478.889672158
17,369.10103474755
18,486.41193061644
19,486.41193061644
20,449.08558804861
21,449.08558796981
22,1243.2068636699
23,1273.8191369377
24,1273.8191351829
1,8031.8882037752
2,246.90267464857
3,316.71059293489
4,20.434046606631
5,59.311374791337
6,55.330683335197
7,59.612940515198
8,58.957853223298
9,33.10964116625
10,54.923560287765
11,182.14223902031
13,359.64952577157
14,457.90112185319
15,453.32211047033
16,472.21053129611
17,970.61948702695
18,970.61948702695
19,1813.4337726474
20,1881.8061011934
21,1881.8061011934
22,1164.9994463038
23,1235.5935073267
24,1235.5935073267
1,5404.5340497782
2,3849.6850615561
3,3830.7273215353
4,2096.3515582622
5,1482.4431651908
6,1667.8490641942
7,1508.7326380703
8,1508.7326380703
9,20038.400477333
10,17558.038139665
11,18216.591579306
12,15324.148690707
13,1012.9395412087
14,509.35377509736
15,595.75215726737
16,926.72945425154
17,393.8958160194
18,1254.2524041268
19,1293.0437154306
20,2119.8316868461
21,2075.7395642453
22,1104.9657270381
23,732.46466710735
24,732.12513833219
1,692.99469304733
2,683.47357301299
3,683.47357301299
4,150.32112681478
5,178.38107048374
6,997.35966368958
7,1020.0322580828
8,866.61016077328
9,843.87858398092
10,60.477556807015
11,26.496477072163
12,24.932737534408
13,6.3562195629014
14,308.72671511609
15,308.72671511609
16,241.24455970404
17,1.4416162950169
18,1.4416162949608
19,40.242838161149
20,100.31432909317
21,403.56925932487
22,403.56925932487
23,403.46887194773
24,360.91003004737
1,8693.0269664006
2,6908.686946291
3,5245.0971828157
