num_interests,reach
1,112009928.86241
2,76568490.782218
3,72085068.476632
4,64004828.791286
5,37649474.492649
6,29227218.588467
7,27225781.681599
8,14391990.679229
9,13104779.559196
10,3558939.2679707
11,3437357.2443866
12,1142574.5578158
13,1158059.2870144
14,676723.89625699
15,643453.89005629
16,642593.33232452
17,153062.40859416
18,153078.40220108
19,67960.088065627
20,49088.675759296
21,33149.240130406
22,31596.188852904
23,30838.716547082
24,30764.833661249
1,98048916.694846
2,69978264.705841
3,46699270.122506
4,53031425.88272
5,52077783.550295
6,51458340.759911
7,48520208.073333
8,17128194.136469
9,17128194.136469
10,13718601.80513
11,8834837.3984786
12,7190517.6061982
13,4627320.689758
14,4520964.9967174
15,4521714.6374404
16,3375007.3812888
17,2384193.4068651
18,1669298.9715171
19,1670342.9761249
20,624126.69655268
21,605984.38221145
22,605353.24074509
23,597292.08764443
24,599100.26660788
1,98048916.694846
2,69978264.705841
3,69534880.550942
4,47529868.87645
5,8724624.258283
6,8758327.6390861
7,8706851.2199199
8,8520213.8851536
9,8520213.8851536
10,6121133.5898882
11,2449536.9256881
12,2461090.8093913
13,2502820.4930436
14,1867371.8054477
15,1773172.0128685
16,1106507.8438664
17,509818.17307218
18,488731.76326277
19,489794.09500708
20,463476.40522124
21,463832.75532148
22,463832.75532148
23,160449.24081215
24,159237.36859007
1,98048916.694846
2,76817528.221422
3,60115223.454861
4,55624130.666255
5,52682594.72632
6,52063747.066123
7,47584265.354055
8,16905280.770414
9,16905280.770414
10,13190671.619212
11,7881743.9762075
12,7676509.1462877
13,7200094.8521213
14,6618129.0955003
15,6596801.3913881
16,6410803.3107617
17,5073248.4546009
18,4838015.5529394
19,4803311.8072056
20,1160548.2159648
21,627028.82875989
22,619416.83990977
23,542247.37136355
24,466250.83375541
1,98530994.401655
2,94805504.190028
3,86654367.512071
4,11702242.617885
5,11406228.039077
6,7934539.8047647
7,7960019.7101096
8,3368200.4817326
9,2458913.1518012
10,2109940.5631892
11,2040489.6611061
12,769646.46541325
13,769348.90767501
14,727721.34983545
15,132774.3172924
16,132774.3172924
17,132774.3172924
18,68572.81411748
19,55247.182781032
20,12448.233645895
21,12448.233645895
22,12448.233645895
23,12432.827416135
24,11537.340891008
1,73424564.69034
2,73222188.345504
3,51985210.870333
4,47458975.634359
5,47458975.634359
6,30765622.430207
7,24303437.529224
8,23324651.823463
9,6203453.811489
10,5753364.1228792
11,5731735.6088816
12,5720089.5472566
13,4425340.585312
14,4425340.585312
15,2138591.0010106
16,1053043.0708805
17,858540.74711618
18,850495.49349815
19,850495.49349815
20,850495.49349815
21,850602.32401749
22,850602.32401749
23,850602.32401749
24,476544.4560545
1,101731031.40289
2,12248807.776541
3,11861936.567287
4,1975531.0763712
5,1975531.0763712
6,1709175.7730382
7,1709175.7730382
8,1724319.8454626
9,1724319.8454626
10,1724501.6547913
11,1595850.7584974
12,1434315.980261
13,1384203.8966004
14,1233722.7354506
15,1068652.8133502
16,998200.81074974
17,696666.3916427
18,383157.5623155
19,267364.5345313
20,267364.5345313
21,258825.7577524
22,260558.36342433
23,262761.93988941
24,248811.16626153
1,7358644.441196
2,2666211.14663
3,2583828.3153806
4,2216890.1991955
5,2149863.8733644
6,1887355.9007871
7,739878.48233464
8,717871.86172785
9,719616.40694875
10,717341.14665687
11,532553.52963183
12,473786.89202633
13,333042.87697706
14,315332.68336665
15,25342.282746124
16,24354.979344617
17,18614.690202372
18,18295.896384643
19,18487.032959688
20,18439.43877846
21,18432.464098017
22,18350.911101898
23,18437.573034786
24,18224.215317135
1,3330996.0737037
2,2468877.6956463
3,1091722.1474762
4,1052104.5505671
5,748005.63964466
6,736510.33615883
7,592736.97870813
8,183583.24551052
9,183436.53799824
10,183111.57181037
11,180797.30435033
12,126724.43630657
13,126724.43630657
14,110929.91819864
15,98671.975840803
16,87066.901850386
17,68939.810388105
18,68484.875419562
19,68421.531922975
20,58137.469542169
21,58176.021500926
22,6314.7679748321
23,6079.4495165209
24,6057.4267701144
1,98048916.694846
2,69978264.705841
3,67028038.613944
4,41239519.771243
5,14498234.579919
6,7542511.1336587
7,3945563.4016729
8,3945563.4016729
9,3611817.7447315
10,3595242.9755875
11,2900153.0815139
12,2892143.3855121
13,1612019.9573857
14,1490972.9473998
15,1058662.2917762
16,1050661.3068574
17,1050661.3068574
18,1050661.3068574
19,1050661.3068574
20,1050661.3068574
21,1050661.3068574
22,1050661.3068574
23,1054500.5426042
24,1054500.5426042
1,159049091.54726
2,114214856.6664
3,114421679.83468
4,110128623.69827
5,110128623.69827
6,88647469.341724
7,35688547.495655
8,35688547.495655
9,35688547.495655
10,36928144.123207
11,27481628.331321
12,18052154.668819
14,8790403.4895848
15,8790403.4895848
16,8790403.4895848
17,8790403.4895848
18,8664688.9288727
19,199.10186448838
20,204.81611040147
21,8601267.9394819
22,8641214.1810247
23,195.87586175814
1,66280609.548101
2,47643415.236199
3,46828248.840718
4,16683551.288178
5,16683551.288178
6,13132209.996391
7,11769537.045137
8,11797992.11586
9,5589361.8200175
10,5477080.582124
11,4709106.8763415
12,2604010.5425085
13,1491277.2254762
14,1405696.8956197
15,1281205.2774768
16,1200927.0847612
17,1175625.6828323
18,1199626.8465986
19,1199626.8465986
20,1199626.8465986
21,1199626.8465986
22,1199626.8465986
23,1176623.91748
24,1003699.1134421
1,98048916.694846
2,69978264.705841
3,46699270.122506
4,53031425.88272
5,33958144.699118
6,33351979.004316
7,39354114.775275
8,36082033.043264
9,36082033.043264
10,25133507.988308
11,20894282.163331
12,19493834.226816
13,18759762.260877
14,11600083.143602
15,11519708.136407
16,10789934.109234
17,3428402.3637268
18,1166912.7077136
19,1151425.1384307
20,1154825.2135318
21,698768.96023551
22,677087.10821999
23,678072.19318438
24,252268.29848305
1,8121124.1111409
2,7913085.9138477
3,7438942.3802125
4,7356971.7021821
5,5384973.0170954
6,5384973.0170954
7,4906450.5659196
8,4906450.5659196
9,4906450.5659196
10,2810706.9850083
11,2705520.7247773
12,1961441.0613939
13,855706.29582558
14,732482.20502282
15,732482.20502282
16,607941.49794637
17,625687.80047913
18,600336.50156934
19,603354.85074695
20,603131.24804521
21,494396.2746231
22,487398.25098579
23,230735.21122054
24,230735.21122054
1,168545934.07365
2,64765100.355986
3,64765100.355986
4,9128267.8049048
5,3841393.0372081
6,3082295.1900168
7,3057007.1470522
8,3057007.1470522
9,2980829.3329438
10,3034346.8372859
11,3013488.0916843
12,3014597.037297
13,571652.75404457
14,554221.39597699
15,204621.97673594
16,204621.97673594
17,204621.97673594
18,204621.97673594
19,154865.56934238
20,154819.74317823
21,154858.6866444
22,36062.248642753
23,34812.038804743
24,33651.468981949
1,18926445.437
2,5974572.7263065
3,5826456.9280105
4,2245908.6385109
5,1866140.3443258
6,1866140.3443258
7,1871407.5128845
8,1807555.1159036
9,1737650.1549262
10,1652162.3815897
11,1633233.8403502
12,1633233.8403502
13,1633233.8403502
14,895589.86321669
15,405670.45107552
16,264794.11196092
17,264794.11196092
18,264794.11196092
19,467.6457888364
20,467.6457888364
21,464.68605276823
22,464.68605276823
23,423.62147655259
24,423.62147655259
1,56999158.606497
2,56069591.192442
3,10467524.129174
4,10467524.129174
5,10467524.129174
6,10467524.129174
7,10398380.421581
8,10398380.421581
9,8647912.0651574
10,8647912.0651574
11,1212386.3092551
12,628498.42880232
13,628498.42880232
14,500283.83527076
15,315451.257705
16,30479.430118924
17,17836.879639594
18,6945.7199510228
19,4644.7324685959
20,3825.3661151039
21,3807.0629279503
22,3807.0629279503
23,3807.0629279503
24,3807.0629279503
1,24800952.667283
2,24530399.072997
3,20270214.486097
4,20387425.402405
5,15854615.35156
6,15514063.869423
7,15374129.108361
8,14704041.098699
9,14704041.098699
10,10091107.903362
11,6189491.2479399
12,2645601.1969271
13,2641645.9240992
14,2454722.1046642
15,1541112.865082
16,14139.357441204
17,13916.017244943
18,13916.017244943
19,14012.095106658
20,13328.652579975
21,13140.855005749
22,6001.4606124697
23,5321.5800142924
24,3970.554756003
1,66280609.548101
2,70275491.336171
3,67593407.024288
4,66495856.294177
5,58566854.025868
6,38126110.653514
7,13596554.140806
8,13198411.527956
9,12000363.824168
10,11950283.647335
11,9528456.8297301
12,8804331.9980382
13,8804331.9980382
14,4245071.671018
15,2305472.9403555
16,2019700.1279785
17,2014130.2481692
18,2014130.2481692
19,2014130.2481692
20,2035429.8079603
21,1709879.5432913
22,1709879.5432913
23,1716208.7694877
24,1716208.7694877
1,33704864.028388
2,31653110.762342
3,3707624.4989796
4,2255467.2368158
5,1800407.6620711
6,1754840.7193839
7,1754840.7193839
8,1754840.7193839
9,1798944.0065959
10,1303041.9593921
11,457011.26831111
12,457011.26831111
13,458144.32745611
14,434827.82308352
15,162212.39235121
16,118003.99978018
17,92127.335956906
18,92127.335956906
19,1112.4508563689
20,758.17374971597
21,710.98450227017
1,32785643.611562
2,23469523.55202
3,19122578.813229
4,19132494.275006
5,15171825.85492
6,14635480.574591
7,14817188.681092
8,13706146.098159
9,13706146.098159
10,9859786.7288752
11,8255108.5195973
12,3680725.4052525
13,3663255.3524836
14,3613917.7456628
15,1066792.5015119
16,1039672.2465838
17,312819.87771198
18,312793.46232141
19,312830.13533694
20,276806.28802503
21,266981.64511384
22,225155.22877148
23,174124.94031593
24,173950.73408535
1,98048916.694846
2,69978264.705841
3,46699270.122506
4,53031425.88272
5,52077783.550295
6,51458340.759911
7,18029074.992374
8,14300657.358439
9,8474228.3522369
10,7879095.5808041
11,3661925.6030859
12,3670550.2114556
13,3643768.281482
14,2978495.4459135
15,2911404.5533296
16,1547044.6310311
17,1483055.5527288
18,1378482.6483882
19,1181068.2091712
20,1100590.131498
21,819879.8798552
22,818467.7050931
23,819955.11705582
24,819955.11705582
1,33840357.580113
2,30044329.692284
3,17441650.8809
4,10076449.133174
5,10076449.133174
6,9842636.4467351
7,9842636.4467351
8,10020157.608815
9,7373237.5960247
10,30403.682966888
11,30483.716996668
12,29809.147037033
13,8520.7408634683
14,6618.6571123973
15,289.72608725307
16,289.72608725307
17,286.94752435892
18,286.94752435892
19,286.94752435892
20,281.87941278963
21,197.84345457727
22,197.84345457727
23,197.54010030766
24,197.54010030766
1,77596053.420754
2,78014077.228145
3,74882069.66243
4,68895414.832156
5,68895414.832156
6,58149790.530357
7,9073256.7640277
8,8330338.9389382
9,8330338.9389382
10,3701366.2614342
11,3428567.3514894
12,3401005.2318088
13,3302973.3760688
14,1926799.5187892
15,1865289.6394176
16,1865289.6394176
17,1865289.6394176
18,1865289.6394176
19,1857826.3883073
20,1857826.3883073
21,1855376.7886796
22,1396096.5034241
23,1160367.8992174
24,1160367.8992174
1,97273519.605717
2,33429573.121171
3,27915452.986496
4,4994158.5468922
5,4521048.6078179
6,3840651.225681
7,3627502.504035
8,2013922.7435478
9,1417173.0718565
10,1383563.7404884
11,1383563.7404884
12,167718.56747936
13,167718.56747936
14,167718.56747936
15,167667.83728719
16,88744.434578619
17,68929.031628178
18,69316.613870595
19,69318.002896881
20,69318.002896881
21,69318.002896881
22,68244.182040365
23,67847.783998891
24,66705.071243467
1,105436955.51615
2,99835429.754574
3,95013122.165059
4,5683246.9760745
5,1391875.2925518
6,1360902.5930862
7,1393061.1651293
8,1108143.0142999
9,921979.65816004
10,739556.75056582
11,316748.20411562
12,285629.08653508
13,285629.08653508
14,285629.08653508
15,285629.08653508
16,285629.08653508
17,276869.26947472
18,224087.15044886
19,196473.72352313
20,177937.79293554
21,177937.79293554
22,177464.22474245
23,40903.466935494
24,40840.076463066
1,98048916.694846
2,69978264.705841
3,69534880.550942
4,47529868.87645
5,46435112.86098
6,45908093.329113
7,42844780.303786
8,42844780.303786
9,22100201.570623
10,16662454.499457
11,16131523.669478
12,16047162.671518
13,10992490.511758
14,10967672.240067
15,7093603.3354316
16,6573712.481556
17,6503239.8714165
18,6639004.527428
19,6019510.5733739
20,6047179.1166168
21,5466015.7102862
22,4952759.7217972
23,5098474.3970228
24,3284865.3177092
1,66280609.548101
2,70275491.336171
3,47725749.842096
4,47203251.703626
5,43321077.884663
6,43321077.884663
7,28247751.877841
8,27813315.086544
9,27225433.334856
10,24604988.983833
11,24671105.997226
12,20575399.331215
13,20913555.83445
14,19182504.628521
15,8899099.2249805
16,8685958.8107986
17,6667449.506383
18,5981666.1389739
19,4028438.6548553
20,4089315.41568
21,3977438.5554744
22,3977438.5554744
23,3977438.5554744
24,3977438.5554744
1,98048916.694846
2,69978264.705841
3,46699270.122506
4,53031425.88272
5,33958144.699118
6,33351979.004316
7,37138073.167122
8,37138073.167122
9,25209033.733116
10,20913438.997061
11,8755617.513682
12,8732664.3008864
13,8577898.1915485
14,7911808.2926177
15,7911808.2926177
16,7343658.5334675
17,7352309.4038039
18,3583841.1204579
19,3385086.7769
20,3385379.3102693
21,834037.95126674
22,805504.86118176
23,250221.45440362
24,130838.23477498
1,2569311.5068736
2,2516843.1107404
3,2171292.815093
4,2176113.2885204
5,2105298.1645476
6,2029141.257173
7,1550186.1150932
8,1082147.9485643
9,813572.26308088
10,571509.5326472
11,289058.19129915
12,289058.19129915
