num_interests,audience
1,453500000
2,312300000
3,293300000
4,263600000
5,166500000
6,133400000
7,126300000
8,67400000
9,61600000
10,19100000
11,18600000
12,5900000
13,5900000
14,3600000
15,3500000
16,3500000
17,982800
18,983100
19,438300
20,330700
21,223400
22,215400
23,208700
24,208200
1,419500000
2,291900000
3,221600000
4,220700000
5,215700000
6,213400000
7,202100000
8,80300000
9,80300000
10,66800000
11,46500000
12,39800000
13,25800000
14,25300000
15,25300000
16,19700000
17,13900000
18,10100000
19,10100000
20,3600000
21,3600000
22,3600000
23,3600000
24,3600000
1,419500000
2,291900000
3,289300000
4,190000000
5,34500000
6,34200000
7,34200000
8,33600000
9,33600000
10,25600000
11,11500000
12,11500000
13,11400000
14,9100000
15,8600000
16,5700000
17,2900000
18,2800000
19,2800000
20,2700000
21,2700000
22,2700000
23,875900
24,869500
1,419500000
2,304600000
3,303100000
4,219100000
5,210000000
6,206900000
7,193400000
8,75500000
9,75500000
10,61900000
11,39200000
12,39100000
13,35400000
14,33100000
15,33000000
16,32900000
17,27000000
18,25800000
19,25000000
20,5900000
21,3300000
22,3300000
23,3000000
24,2600000
1,393200000
2,380300000
3,352100000
4,57900000
5,56600000
6,41700000
7,41700000
8,20300000
9,14800000
10,13000000
11,13000000
12,5100000
13,5100000
14,4900000
15,902100
16,902100
17,902100
18,543200
19,440200
20,80800
21,80800
22,80800
23,80700
24,73800
1,314700000
2,312300000
3,222300000
4,203100000
5,203100000
6,140300000
7,116000000
8,110100000
9,34300000
10,32100000
11,32100000
12,31900000
13,25400000
14,25400000
15,11400000
16,6300000
17,5100000
18,5100000
19,5100000
20,5100000
21,5100000
22,5100000
23,5100000
24,3300000
1,409400000
2,60500000
3,58700000
4,11000000
5,11000000
6,10100000
7,10100000
8,10100000
9,10100000
10,10000000
11,9400000
12,8600000
13,8600000
14,7200000
15,6400000
16,6300000
17,4500000
18,2800000
19,2000000
20,2000000
21,2000000
22,2000000
23,2000000
24,1900000
1,28900000
2,11800000
3,11500000
4,9900000
5,9900000
6,8500000
7,3800000
8,3700000
9,3700000
10,3700000
11,2900000
12,2700000
13,2100000
14,2000000
15,176400
16,169500
17,140800
18,139800
19,139800
20,139100
21,139000
22,138200
23,137900
24,137600
1,12400000
2,9100000
3,4400000
4,4200000
5,3100000
6,3100000
7,2600000
8,883600
9,883000
10,881300
11,873000
12,644200
13,644200
14,582100
15,516600
16,470800
17,387000
18,385300
19,385000
20,338000
21,338000
22,38000
23,36800
24,35500
1,419500000
2,291900000
3,286600000
4,183900000
5,67200000
6,39400000
7,22400000
8,22400000
9,20800000
10,20700000
11,17300000
12,16900000
13,9900000
14,9500000
15,6800000
16,6800000
17,6800000
18,6800000
19,6800000
20,6800000
21,6800000
22,6800000
23,6800000
24,6800000
1,671700000
2,493600000
3,493000000
4,476300000
5,476300000
6,396100000
7,170100000
8,170100000
9,170100000
10,170000000
11,135400000
12,92200000
14,44000000
15,44000000
16,44000000
17,44000000
18,43900000
19,1000
20,43900000
21,43600000
22,43600000
23,1000
1,296200000
2,192000000
3,188000000
4,75600000
5,75600000
6,62500000
7,56600000
8,56600000
9,27100000
10,27100000
11,23100000
12,13100000
13,7100000
14,6800000
15,6200000
16,5900000
17,5800000
18,5900000
19,5900000
20,5900000
21,5900000
22,5900000
23,5800000
24,4900000
1,419500000
2,291900000
3,221600000
4,220700000
5,165600000
6,163100000
7,162000000
8,152600000
9,152600000
10,111800000
11,95200000
12,89900000
13,89100000
14,58000000
15,57700000
16,53900000
17,19300000
18,7100000
19,7100000
20,7100000
21,4300000
22,4200000
23,4200000
24,1800000
1,33500000
2,32300000
3,31200000
4,30300000
5,22800000
6,22800000
7,21400000
8,21400000
9,21400000
10,12800000
11,12700000
12,9200000
13,4100000
14,3600000
15,3600000
16,3200000
17,3200000
18,3200000
19,3200000
20,3200000
21,2700000
22,2700000
23,1400000
24,1400000
1,736500000
2,287900000
3,287900000
4,42400000
5,18300000
6,15300000
7,15200000
8,15200000
9,15300000
10,15200000
11,15100000
12,15100000
13,3500000
14,3500000
15,1300000
16,1300000
17,1300000
18,1300000
19,1000000
20,1000000
21,999700
22,219300
23,212300
24,207500
1,81600000
2,30800000
3,30100000
4,11300000
5,9700000
6,9700000
7,9700000
8,9500000
9,9400000
10,9000000
11,8900000
12,8900000
13,8900000
14,4500000
15,2400000
16,1700000
17,1700000
18,1700000
19,2700
20,2700
21,2700
22,2700
23,2500
24,2500
1,272300000
2,267000000
3,45400000
4,45400000
5,45400000
6,45400000
7,45300000
8,45300000
9,39400000
10,39400000
11,5900000
12,3100000
13,3100000
14,2600000
15,1600000
16,150000
17,89300
18,36400
19,25100
20,20900
21,20800
22,20800
23,20800
24,20800
1,96100000
2,95100000
3,78200000
4,78200000
5,62400000
