num_interests,reach
1,7300000
2,59800000
3,18900000
4,37900000
5,1300000
6,693100
7,1300000
8,776800
9,31000
10,2100000
11,93500
12,4300
13,16800
15,1000
16,1900
19,4900
21,1000
22,1000
1,676000000
2,4200000
3,3100000
4,2100000
5,44300
6,5500
7,2100
8,766300
9,1000
10,1000
20,1000
1,3400000
2,3700000
3,24400
4,15400
5,1000
8,1000
9,1000
1,36900000
2,24800000
3,436200
4,16100000
5,422500
6,260500
10,4400
12,1000
22,1000
1,455700000
2,35500000
3,89600000
4,312100
5,15400000
6,1000
7,322900
8,393100
9,177300
10,83300
13,5800
16,1800
24,1000
1,912900000
2,184300000
3,129500000
4,179600
5,1900000
6,1900
7,41700000
8,60300
9,770000
10,10100
13,12300
16,1000
17,2900
20,33800
22,2200
1,392700000
2,5800000
3,157700
4,196900
5,250900000
6,8800
7,1900000
8,20100
9,1000
10,633500
11,4900000
12,45300
13,4300
15,15300
16,296800
18,1000
19,1000
21,1000
22,14500
23,1000
25,37100
1,53900000
2,256700000
3,652700000
4,60800000
5,257400
6,193600000
7,3400000
8,498200
9,11200000
10,522000
11,59100000
12,58100000
13,4500
14,222000
15,32400
16,62500
17,1000
19,372200
20,4200
21,72100
22,2200
23,1000
24,4800
25,5000
1,47500000
2,59600000
3,17700000
4,5600000
5,8700000
6,374600
7,1300000
8,9000000
9,1000
12,1000
13,1000
14,3200
17,1000
18,1100
1,7500000
2,23500000
3,111900
4,2600
5,2200
6,1000
7,15500
8,448300
10,11500
11,1000
17,1000
1,16900000
2,44500000
3,375300000
4,27500000
5,8000000
6,246800
8,51100
11,1900000
13,1000
14,1000
15,1000
18,1700
19,1000
1,1600000
2,650400
3,22900000
5,10200000
7,5400
9,1000
11,1000
1,16800000
2,10200000
3,6300000
5,1000
6,82100
1,714500000
2,180200000
3,36600000
4,2200000
5,236900
7,7100
8,377100
9,15000
10,1000
11,1000
12,5200
13,1000
14,1000
1,222700000
2,651800
3,61900
4,1900
6,114200
7,3300000
8,1000
9,1000
14,18000
1,13000000
2,107700000
3,53400000
4,12700000
5,8400000
6,1000
7,1400000
8,1800000
9,11600000
10,1000
11,1000
12,1000
13,360500
17,9700
18,1000
1,542100000
2,183400
3,4500000
4,3200
5,33100
6,1000
7,1400
9,1000
10,4500
11,1300
12,1000
1,3400000
2,421600000
3,33400000
4,1300
5,6100
6,364200
7,182200
10,4000
1,339400000
2,5800000
3,31700000
4,51900
5,5000000
6,37700000
8,22500
9,89600
12,1000
13,3000
16,1000
20,1000
1,494700000
2,5800000
3,3500000
4,56400000
5,8000
6,4900000
7,751200
8,2900000
9,32500
10,17000
13,6200
15,2800
17,6700
24,43300
1,119100000
2,93600
3,14700000
4,146700
7,107800
9,12400
10,1000
11,1000
1,333800000
2,181000000
3,940600
4,75500
5,924000
6,15500
7,3300
12,1000
14,1000
16,1000
1,784800000
2,460700
3,1100
4,6700000
5,1000
6,2200
7,1000
8,1000
9,1000
11,65200
12,1000
13,1000
1,9400000
2,19700000
3,473600
4,4000
5,1000
6,590300
7,1000
8,1000
9,3500
10,1000
12,4300
13,1000
1,8400000
2,3500000
3,638800
4,4400
6,54300
7,1000
8,1000
9,1000
12,1000
13,1000
1,392600000
2,2100000
3,18500000
4,1700000
5,249000
6,2200
7,1000
8,11400000
9,173600
11,2500
12,2100
19,1000
1,569300000
2,76300000
3,15100000
4,20100000
5,1600000
6,370600
7,1000
8,1800000
9,1000
10,25900000
11,59900
12,18600
13,132800
14,9900
15,1000
16,1000
17,1000000
1,202200000
2,185800000
3,248600000
7,29000000
1,448400000
2,169700000
3,676500
4,2600000
5,2200
6,1000
9,1000
11,1600
1,2400000
2,4700000
3,1600000
4,30700000
5,467200
6,14900
7,1000
9,2700
10,44700
11,1000
14,1000
1,13700000
2,744000
3,230800
4,116900
5,20600
6,696500
7,1000
9,5100
15,3000
17,1200
1,51700000
2,8400000
3,7600
5,1000
6,39500000
9,8800
10,13300
1,210500000
2,118400000
3,230500
4,297600
5,140200
6,3900
7,11500000
8,1000
9,1000
10,30500
11,1000
12,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
1,539600000
2,4400000
3,293100
4,158700
5,420900
6,1000
7,82600
10,709300
11,22700
12,22400
24,1200
1,22600000
2,27800000
3,168900000
4,6100000
5,39900000
6,2400000
7,32500
8,16200
9,3400
13,1000
16,1000
1,1100000
2,29100000
3,1600000
4,1300000
5,29400
6,9800000
7,32600
8,3500000
9,1000
11,8700
12,16400
13,1000
15,14300
1,840000000
2,171100000
3,24600000
4,30900
5,2000000
6,1000
7,1000
10,1000
11,1700
12,2400
24,1000
1,8200000
2,148800000
3,7200
4,2400000
5,4100
10,41600
1,34500000
2,18500000
3,36000000
4,129300
5,159800
6,264700
7,459000
8,29400
10,4400
11,1000
13,6200
17,1000
1,203500000
2,171500
3,19200
5,1000
6,1500
8,1000
1,437000000
2,164600000
3,54800
4,3600
5,472600
6,292800
7,1000
8,5000
10,1000
11,1500
1,32300000
2,41300000
3,1500000
4,340000
5,1600000
6,1800000
7,3200000
8,1000
9,1600000
10,1000
11,1000
12,1000
14,9700
16,25500
18,3400
20,1000
1,6700000
2,5300000
3,71200000
4,18000
5,108400
9,6800
10,1000
11,1000
12,1000
13,1000
1,65600000
2,4600000
3,237300
4,6600
7,1500
8,1000
1,120400000
2,101300000
3,9100000
4,3000000
5,913800
6,81900
1,9700000
2,189600000
3,2800000
4,7500000
5,3000000
6,17100000
7,5900
8,689900
9,432300
10,1400
12,1100000
14,1000
15,1000
16,1000
18,21200
23,1000
1,720200000
2,4400000
3,1900000
4,272100
5,8900
6,3600
7,1000
8,1000
9,4500
12,1000
1,448500000
2,167000
3,20300
5,1000
6,1000
7,1000
1,29000000
2,21200
3,32800
4,2700
5,1500
6,3200
7,1000
9,1000
15,3400
16,1000
1,2100000
2,259600
3,18500000
4,1000
5,171100
6,6700000
7,1000
10,1000
1,119600000
2,22700000
3,930100
4,4400
5,1000
7,1000
8,1000
1,307600000
2,577600
3,294200
4,11900
5,165500
6,62900
7,1600
8,144400
11,1100000
12,1000
1,38700000
2,25200000
3,4900
4,1200000
5,29400
7,1000
8,14000
9,154900
16,1000
1,258500000
2,3700000
3,1700000
6,1000
8,4100
9,5200
1,559600000
2,37800000
3,118300000
4,106300
5,17800
6,15200000
7,135800
8,60600
9,45000
10,2700
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
1,17800000
2,6300000
3,37800
4,5000000
5,4800000
6,1000
7,1800000
16,1000
1,82900000
2,84400000
3,238600000
6,1100000
7,1000
8,1000
9,1000
1,164100000
2,2400000
3,1000
4,6000000
5,9200000
6,31100
7,1000
9,1000
13,1800
1,345900
2,33300000
3,1000
4,2100000
5,1100
6,32300
7,1000
8,1000
12,1000
1,581600000
2,109300000
3,426300
4,144100
5,3900
6,949200
7,1000
8,1000
9,4700
11,1000
1,3300000
2,14200000
3,1700000
4,3400
5,59100
9,2700
13,327600
1,14000000
2,70700000
3,13900000
4,2600000
5,142600
6,3100000
7,26900
8,26900
9,18200
10,646700
11,1000
12,21000
17,1000
21,1000
1,36100000
2,73100000
3,595700
4,58900
5,4400
6,1000
7,5100
13,1000
1,190600000
2,4200000
3,54100000
4,2100
5,1500000
6,65800000
14,1000
1,394000000
2,16500000
3,47200
4,95500
5,1000
6,9100
7,5800
9,5300
10,1000
11,1000
1,30700000
2,362800000
3,23500
4,4400
5,1700
8,24700
11,1000
1,5100000
2,37700
3,2500
4,1300
5,1000
6,24000
7,6400
1,13100000
2,134500
3,3100
4,7800
5,7500
6,1300
7,1000
1,50600000
2,80300000
3,112100000
4,480800
5,25800
6,659900
7,11100
8,16600000
9,1000
10,1000
11,29200
13,1000
23,1000
1,500700000
2,4600000
3,3800000
4,245900
5,1000
6,1000
7,1000
11,1000
1,60500000
2,409100
3,13800000
4,1000
5,1300
6,25300
14,2200
1,151900000
2,86200
3,5000
5,2100
6,2300
12,7100
1,3900000
2,40000000
3,664400
4,64700000
5,1000
6,178500
8,1000
9,1000
10,118900
11,1000
12,4000
17,1000
20,69400
1,43500000
2,12800000
3,28100
5,1200
6,8300
7,1000
16,1000
1,10000000
2,36000000
3,706200
4,4400
5,28000
6,32500
7,590100
8,1000
9,4500
10,1000
11,49200
17,6600
25,1000
1,8900000
2,288500
3,40100
4,80500
5,67600
7,4000
12,1000
17,1000
1,6600000
2,1000
3,5300000
4,44100
5,8800
6,6100
7,1200
12,1000
13,28200
20,1000
1,339400000
2,1400000
3,43200000
4,1900000
5,3500000
6,97900
7,8000
25,1000
1,57600000
2,111400000
3,55400
4,190000
5,639000
7,1000
8,43500
9,1000
14,138900
1,340600000
2,1900
3,1600000
4,1000
5,522000
6,19400000
8,3100000
9,74600
10,1000
11,1000
13,52700
21,1000
1,161000000
2,8700000
4,2200
5,139600
7,465000
9,380200
13,2200
1,26000000
2,56800000
3,1100000
4,27500
5,1000
6,718200
7,2100
8,8400
13,1900
1,6600000
2,3200000
3,5300000
4,14100000
5,166000
6,16200
7,8500
8,3700000
9,35200
10,8200
11,286700
12,1100000
13,1000
14,1100
16,3600
17,10600
18,1000
19,1000
24,1000
1,1600000
2,105900000
3,63900
4,1000
6,1000
1,18000000
2,29600000
3,7300000
4,88400
5,14800000
6,455900
9,1400000
10,1000
14,21100
1,552500000
2,607900
3,284700
6,1000
9,1000
11,1000
1,374200000
2,1500000
3,31700000
4,366700
5,10800000
6,8800
7,10200000
8,6400000
9,34000
10,5000
11,754800
12,7400
13,3000
14,1600
15,1600
15,1600
15,1600
15,1600
15,1600
15,1600
15,1600
15,1600
15,1600
15,1600
15,1600
1,565800000
2,92900
3,1800000
4,278600
5,490900
7,7800
9,1000
1,171900
2,432300
3,88300
4,1000
5,1600
6,1000
10,1000
1,680200
2,6500
3,6900
4,18500
5,122300
6,1000
8,18300
9,1000
11,1000
1,13800000
2,3500000
3,8500
4,4400
5,189100
6,87000
7,67400
8,9600000
10,10500
11,133300
13,1000
15,1000
20,1000
24,1000
1,161000000
2,335900000
3,3800000
4,4600
5,3900
6,946500
7,1500
8,1500
9,1500
9,1500
9,1500
9,1500
9,1500
9,1500
9,1500
9,1500
9,1500
9,1500
9,1500
9,1500
9,1500
9,1500
9,1500
9,1500
9,1500
1,32100000
2,2300000
3,7000
4,12600
5,489500
6,14800000
7,1000
8,1000
10,1000
1,125500000
2,484300000
3,18700000
4,25800000
5,1500000
6,6800000
7,1200000
8,36100000
9,12400000
10,42300
11,398000
13,14900
14,333500
15,38600
16,4700
17,365200
18,198100
19,9200
20,1000
21,714200
22,8000
23,1000
24,2600
1,185900000
2,429300000
3,1200
4,5400000
5,12100000
7,11600000
11,1000
13,1000
15,1000
16,1000
1,28100000
2,188200000
3,565200
4,21500
5,90100
7,1000
8,2400
9,2500
11,2500
12,3200
13,1400
1,111000000
2,16500000
3,3400000
4,776000
5,190800
6,64800
7,33400
8,9100
9,9400
10,1000
12,128100
15,1000
16,1000
17,1000
22,1000
1,5900000
2,438200
3,1000
4,1000
5,3100
6,3900
8,1000
1,789100000
2,30500000
3,15300
4,5800000
5,683800
6,1300000
9,1000
10,1000
12,232700
13,1000
14,4200
15,8700
17,312600
1,585400000
2,2200000
3,2100000
4,10000
5,942500
6,1400
1,270000000
2,3800000
3,771600
4,9000000
5,3000000
6,20100
7,863200
8,1000
9,384100
10,8300
11,4800
1,64200000
2,5200000
3,1400000
4,46100
5,1000
10,2300
1,152400000
3,2700000
4,244200
5,29900
6,786700
7,871200
8,1000
9,17200
10,21000
15,2800
16,143200
1,392600000
2,61400000
3,18700000
4,611300
6,174300
7,35800
9,8600
10,1900000
11,3200
12,63700
16,1000
17,1000
1,15800000
2,53400000
3,1000
4,5000
5,1000
6,1000
1,73100000
2,9700000
3,439000
4,15500
5,5000
6,43400
7,4500
8,1000
11,1800
12,1700
13,1000
18,1000
1,533900
2,641700000
3,64300000
4,15400000
5,6200
7,242000
8,1000
9,1500
10,9900
11,1000
12,1000
15,4100
20,8700
21,1000
24,4600
1,749900000
2,5200000
3,12500000
4,22200000
5,14500
7,8900
13,1000
1,62000000
2,64200000
3,729800
4,60700000
6,1000000
7,5600
9,2300
11,1000
12,1000
1,685200000
2,679300000
3,5800000
4,8200000
5,610300000
6,64700000
7,965400
8,43200000
9,40400000
10,1100000
11,1300000
12,1300000
13,885800
13,885800
13,885800
13,885800
13,886100
13,885600
13,885700
13,885700
13,885800
13,885800
13,886100
13,885800
13,885600
1,233600000
2,77300000
3,23600000
4,21600000
5,570600
6,285800
6,285800
6,285800
6,285800
6,285800
6,285800
6,285800
6,285800
6,285800
6,284800
6,285800
6,285800
6,285600
6,285800
6,285700
6,285800
6,285800
6,285800
6,285800
6,285800
1,358800000
2,105900
3,29400000
4,2800
5,10400
7,6400
10,1000
1,254700000
2,28600000
3,15700
4,1000
5,2900
6,1000
7,6500
8,1000
11,1700
12,18000
1,71200000
2,1600000
3,3100
4,44900
5,1000
7,74200
10,1000
13,1000
1,12200000
2,109400000
4,1100
6,1000
7,2200
11,1000
1,8500000
2,119000000
3,150100
4,184200
6,78200
7,1000
1,97100000
2,1700000
3,3000000
4,18700
5,1000
6,1000
1,179700000
2,23800000
3,22000000
4,10200
5,541800
6,12300
8,21400
9,1000
10,266200
11,1000
12,1000
20,1000
1,16900000
2,928100
3,12400
4,19300000
5,21100000
6,21400000
7,1000
8,317200
9,1000
10,1500
11,18300
12,1000
1,167000000
2,1500000
3,90000
4,2100000
5,2600000
6,1000
7,110200
8,1000
1,454000
2,15100000
3,76400
5,1300000
6,342000
7,1000
12,1000
1,281200000
2,401700
3,158400
6,3900
9,1000
1,206300000
2,7400000
3,3100000
4,4900000
6,2300
7,1400
8,5500
1,780000000
2,4100000
3,1000
4,5600000
