num_interests,audience
1,864500
2,6600
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,3000000
2,1800
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,57100
2,1000
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,4000
2,1000
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,1200000
2,23900
3,2000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,12700
2,1000
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,7100
2,3100
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,1700000
2,1000
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,2700000
2,23000
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,2800000
2,1000
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,1000
2,1000
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,1900000
2,5800
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,9200000
2,10400
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,234300
2,1000
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,2100000
2,326900
3,16400
4,3100
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
