num_interests,audience
1,2700000
2,3800
1,1700000
2,3600
1,2700000
2,31100
3,1000
1,46000
2,1000
1,2400000
2,21300
1,4600000
1,2000000
2,53600
3,20200
4,9300
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
13,1000
1,18200000
2,285700
3,11800
4,1400
1,866500
2,6600
1,8800000
2,19500
1,684800
2,1300
1,2700000
2,3200
3,1000
1,4400
1,74700
2,1100
1,2400000
2,3000
1,1600000
1,5600000
2,5400
1,23400000
2,275900
3,210300
4,131100
5,22800
6,5500
7,3100
8,1000
9,1000
10,1000
11,1000
1,3000000
2,1800
1,15200000
2,24000
3,1500
4,1000
1,697600
2,3900
1,1800000
2,1600
1,17200
2,13400
3,13300
4,13400
5,13300
6,11600
7,11700
8,11700
9,11600
10,11600
11,11600
12,1000
1,388000
2,1000
1,9700000
2,5900
3,1000
1,6400000
2,61200
3,1000
1,3500
1,57100
1,1700000
1,2100000
2,326800
3,16400
4,3100
5,1000
1,4800000
2,10800
1,29400000
2,203700
1,1500000
2,2000
1,4600000
1,1700000
2,3600
1,4000
1,12700
1,2700000
2,23000
3,1000
1,234600
2,1000
1,10600000
2,13600
3,2700
4,2200
5,2100
6,2000
7,2000
8,1400
9,1400
9,1400
9,1400
9,1400
9,1400
9,1400
9,1400
9,1400
9,1400
9,1400
9,1400
9,1400
9,1400
9,1400
9,1400
9,1400
9,1400
1,364400
2,1000
1,1500000
2,2800
1,1900000
2,1200
1,871800
1,898500
2,1600
1,1300000
2,1000
1,791800
2,1700
1,1900000
2,5800
1,36400
2,2500
1,2400000
2,5000
3,1000
1,234600
1,224100
1,29400000
2,15800
1,4800000
2,1000
1,1100
1,5400000
2,24400
3,1000
1,4300000
2,2300
1,1200000
2,23900
3,2000
1,9100000
2,10400
1,8200000
2,39500
3,1000
1,1800000
2,6900
3,1000
1,366000
2,42500
3,1000
1,13600000
2,21200
3,1000
1,898500
2,1100
1,1400000
2,2500
1,7100
2,3100
1,2800000
1,4700000
2,5000
1,1700000
2,11200
1,1900000
2,3300
1,7300000
2,2900
1,973900
2,1200
1,2700000
2,81000
3,1500
1,898500
2,9900
1,1700000
2,3000
1,1700000
2,2200
1,1300000
2,3200
1,1900000
2,2700
1,898500
2,1700
1,16600000
2,130400
3,2800
1,7000
1,898500
2,1000
1,8800000
2,24400
3,1000
1,3400000
2,40700
3,1000
1,19100000
2,2200000
3,1200000
4,1200000
5,1100000
6,1000000
7,1000000
8,998600
9,991600
10,988100
11,824900
12,824900
13,824900
13,824900
13,824900
13,824900
13,824900
13,824900
13,824900
13,824900
13,824900
13,824900
13,824900
13,824900
13,824900
1,647400
2,31100
3,2400
1,2000000
2,71200
1,1500000
2,13400
1,1600000
2,12900
1,29400000
2,64600
1,2800000
2,8300
3,3500
1,60800
2,1000
1,1900000
2,1600
1,3500000
2,10200
3,1000
1,7300000
2,348600
3,92600
4,35800
5,14400
6,13400
7,7100
8,7000
9,1600
10,1600
11,1500
12,1500
13,1500
14,1500
15,1500
15,1500
15,1500
15,1500
15,1500
15,1500
15,1500
15,1500
15,1500
15,1500
15,1500
1,9200000
2,26700
1,1900000
2,2400
1,1700000
2,2700
1,16800000
2,94700
3,1000
1,4700000
2,205400
3,5600
4,1000
1,1500000
1,47400000
2,21800
3,1000
1,2200000
2,3900
1,2900000
2,1000
1,1700000
1,2800000
2,10500
3,1000
1,1100000
2,6700
3,1000
1,1800000
1,1900000
2,58900
3,1100
1,1800000
2,3600
1,6900000
2,177800
3,1000
1,3300000
2,13000
1,285900
2,1300
1,1000
1,3700000
2,189200
3,1000
1,1700000
2,2100
1,3300000
2,39700
1,1400000
2,1000
1,6700000
2,1000
1,8000000
2,15000
1,104200000
2,2900000
3,384400
4,285300
5,275900
6,274800
6,274800
6,274800
6,274800
6,274800
6,274800
6,274800
6,274800
6,274800
6,274800
6,274800
6,274800
6,274800
6,274800
6,274800
6,274800
6,274800
6,274800
6,274800
6,274800
1,1200000
2,9200
1,5500000
2,77200
3,15300
4,1600
5,1200
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
11,1000
1,9400000
2,17400
3,1000
1,3000000
2,183500
3,1800
4,1200
1,1900000
2,7700
3,1000
1,5000000
2,13900
1,2700000
2,13500
1,8100000
2,15000
3,1000
1,2900000
2,2600
1,797200
2,33300
1,2800000
2,3300
1,8700
1,2600000
2,1000
1,10800000
2,8500
1,13200000
2,6100
1,17200
2,13400
3,13300
4,1000
1,1800000
2,2700
1,4400000
2,34300
3,1000
1,2700000
2,6700
3,1000
1,29400000
2,116300
1,1700000
2,3000
1,1000
2,1000
1,1900000
2,228100
3,31300
4,16000
5,12800
6,9500
7,9300
8,9200
9,7100
10,5900
11,5900
12,5800
13,5800
14,5800
14,5800
14,5800
14,5800
14,5800
14,5800
14,5800
14,5800
14,5800
14,5800
14,5800
14,5800
1,2600000
2,8900
3,1300
1,2000000
2,2500
1,1700000
2,3600
3,1000
1,8100000
2,3200
3,1800
4,1000
1,2800000
2,33100
1,713400
2,1200
1,9800000
2,26900
3,1000
1,797300
