num_interests,audience
1,173000000
2,11700000
3,729100
4,728500
5,585400
6,560200
7,351100
8,230700
9,228500
10,188800
11,99400
12,98300
13,98300
14,96600
15,52200
16,9600
17,5300
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,23000000
2,573800
3,428000
4,84000
5,16900
6,15400
7,4600
8,4600
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,19700000
2,2600000
3,2300000
4,45200
5,4700
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,209200000
2,162100000
3,161100000
4,133900000
5,71900000
6,64300000
7,30900000
8,24100000
9,24100000
10,582600
11,582500
12,574500
13,222000
14,102300
15,102300
16,102100
17,96000
18,17100
19,16700
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,405200000
2,378800000
3,265600000
4,66500000
5,517600
6,203700
7,40800
8,40400
9,39300
10,39300
11,39300
12,34400
13,33600
14,33600
15,19200
16,4300
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,1100000
2,18600
3,12200
4,3000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,8600000
2,1900000
3,702400
4,335300
5,64500
6,53400
7,53400
8,53400
9,33400
10,31000
11,21600
12,5900
13,5800
14,3400
15,3400
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
1,814800000
2,605100000
3,180500000
4,29200000
5,3800000
6,12000
7,3600
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
