num_interests,audience
1,362400000
2,970800
3,190500
4,44900
5,17600
6,1800
7,1800
8,1000
9,1000
1,453300000
2,4900000
3,1300000
4,942300
5,338600
6,59000
7,58900
1,1700000
2,421400
3,371700
4,342300
5,1000
6,1000
7,1000
8,1000
1,20600000
2,7100000
3,29600
4,6700
5,1700
6,1700
7,1600
1,36300000
2,12800000
3,324000
4,37300
5,15200
6,6100
7,2200
8,1000
9,1000
10,1000
11,1000
1,10300000
2,579900
3,47000
1,148500000
2,25600
3,1000
4,1000
1,6000000
2,541500
3,169400
4,1000
1,453300000
2,12200000
3,4300000
4,4200000
5,357900
6,248700
7,38000
8,37900
9,28700
10,2800
11,2100
12,1900
13,1900
14,1000
15,1000
1,1800000
2,8000
3,5700
4,5200
1,423000000
2,145000000
3,602100
4,274100
5,15500
6,1000
1,1900000
2,971400
3,1000
1,183400000
2,49700000
3,159900
4,2900
5,2900
6,2900
7,2600
8,1600
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
1,718000000
2,627800000
3,321100000
4,211000000
5,57900000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
6,50700000
1,12300000
2,4400000
3,2600000
4,10000
5,1000
6,1000
1,9500000
2,5200000
3,53700
4,1000
5,1000
6,1000
1,277900000
2,136100000
3,22600000
4,22500000
5,3200000
6,3100000
7,2400000
8,5900
9,2900
10,1000
11,1000
1,91400000
2,35700000
3,30000000
4,16100000
5,182700
6,67700
7,67200
8,60800
9,33900
10,1100
11,1000
12,1000
1,7400000
2,1500000
3,1200000
4,93400
5,1000
1,194100000
2,185700000
3,5200000
4,2300000
5,2100000
6,14500
7,1700
8,1500
9,1500
10,1200
11,1000
1,26800000
2,19400
3,1000
4,1000
1,10300000
2,308100
3,5300
4,2600
1,36500000
2,1300000
3,484200
4,57300
5,56900
6,1000
1,197700000
2,195500000
3,66800000
4,3300000
5,3300000
6,3300000
7,2500000
8,2300000
9,1500000
10,1500000
11,1500000
12,1500000
13,329300
14,48800
15,6900
16,1000
17,1000
1,138800
2,20300
3,4200
4,1000
5,1000
6,1000
7,1000
1,39400000
2,19100000
3,365700
4,5900
5,1000
6,1000
7,1000
1,58800000
2,39200000
3,693100
4,323500
5,157300
6,2700
7,2700
8,2700
9,2400
1,7000000
2,3700000
3,306000
4,42000
5,9700
6,3200
1,116300000
2,17000000
3,71700
4,1000
1,144800000
2,5600000
3,2800000
4,1300000
5,30700
6,24500
7,20700
8,1200
9,1000
10,1000
1,40400000
2,194700
3,190900
4,6500
5,3000
6,1800
1,129900000
2,8900000
3,1600000
4,23300
5,1000
1,6600000
2,486400
3,3000
4,2100
5,1100
6,1000
7,1000
8,1000
9,1000
1,483400000
2,13700000
3,9600000
4,140300
5,1000
1,278200000
2,21900000
3,720000
4,108300
5,55600
6,44300
7,3400
8,2200
9,1000
1,232500000
2,55200000
3,321100
4,14100
5,13200
6,1000
7,1000
8,1000
9,1000
1,6000000
2,159600
3,1000
1,5800000
2,129900
3,45200
4,1000
1,713300000
2,789200
3,6000
4,1000
1,586300000
2,53800000
3,469900
4,8200
5,3200
6,2400
7,1000
8,1000
9,1000
1,76300000
2,39300000
3,937700
4,52800
5,1800
1,2000000
2,624200
3,380000
4,269300
5,43200
6,5000
