num_interests,reach
0,0
0,2214199.5318806
0,113092811.02048
0,157578032.97506
0,256341150.62922
0,276556649.69607
0,283183592.68976
0,286680734.57549
0,289650832.01764
0,290863159.59948
0,291637279.34437
0,292136063.3011
0,292516974.88942
0,292789918.44786
0,292995032.80239
0,293183958.45135
0,0
0,46496.829124111
0,32794570.239151
0,51255548.436321
0,96112579.685777
0,105866598.48293
0,109251409.69122
0,110906326.01342
0,112378451.30085
0,113077398.53246
0,113417758.22984
0,113635037.16508
0,113821659.15853
0,113912590.64853
0,113996033.28433
0,114047486.88759
1,0
1,46202.328343128
1,32365768.512919
1,50383686.950973
1,94246183.431146
1,103942105.3166
1,107348774.04122
1,108952339.47796
1,110398831.38666
1,111079328.46826
1,111403074.55388
1,111623584.85306
1,111787524.46133
1,111879417.51373
1,111960081.96704
1,112009928.86241
2,0
2,64134.600276274
2,21052566.618842
2,33496162.429809
2,64570760.074309
2,71317241.704497
2,73521543.195938
2,74585635.258101
2,75537749.742544
2,75945216.023813
2,76185103.498882
2,76312219.592967
2,76419622.53865
2,76483848.426422
2,76534959.278542
2,76568490.782218
3,0
3,56081.684540855
3,19121629.51254
3,30972191.158864
3,60581275.832916
3,67001609.608905
3,69129991.119397
3,70184758.708464
3,71098644.396046
3,71510724.460001
3,71733918.234812
3,71852289.976221
3,71955176.959219
3,72009974.685733
3,72054563.03117
3,72085068.476632
4,0
4,40276.654021478
4,16746051.674611
4,27240191.554151
4,53598590.108722
4,59368681.214015
4,61324388.751074
4,62277803.463004
4,63121390.101152
4,63503145.546255
4,63700185.379362
4,63805355.614585
4,63895166.613106
4,63943146.06466
4,63980837.100802
4,64004828.791286
5,0
5,21578.796651295
5,10825468.638931
5,17394063.97657
5,31937878.055028
5,35036988.325333
5,36093589.397234
5,36652374.407127
5,37115475.007569
5,37350163.617768
5,37463743.834267
5,37533167.655673
5,37585549.504599
5,37613768.096161
5,37631978.491365
5,37649474.492649
6,0
6,11077.767610212
6,7567024.2385479
6,12695631.946047
6,24428248.273979
6,27023769.633099
6,27934865.740464
6,28414850.607544
6,28792242.231333
6,28969219.36377
6,29061340.656563
6,29117540.253143
6,29161937.09185
6,29188119.363944
6,29209121.833656
6,29227218.588467
7,0
7,10882.525087679
7,6936575.004367
7,11746818.597065
7,22692666.091434
7,25144735.75563
7,26001983.715476
7,26455430.002265
7,26806045.305608
7,26978932.787635
7,27066952.501617
7,27120969.344257
7,27161883.231302
7,27186926.52085
7,27208350.601499
7,27225781.681599
8,0
8,4897.2259921169
8,4490868.7615986
8,7161279.1613708
8,12376134.416979
8,13469386.958348
8,13836326.802608
8,14030903.394565
8,14212285.707849
8,14293696.925076
8,14329182.209492
8,14354290.944069
8,14369387.782305
8,14377277.327475
8,14386616.777622
8,14391990.679229
9,0
9,4322.9812294026
9,3936452.8146308
9,6374793.683252
9,11185408.487505
9,12228727.19082
9,12578718.40425
9,12766319.387356
9,12938285.172307
9,13011730.019113
9,13046059.735614
9,13070295.735597
9,13083212.949759
9,13090867.361907
9,13099853.352304
9,13104779.559196
10,0
10,2936.8558742242
10,1357404.9594839
10,2080082.7614944
10,3211812.4458338
10,3407304.8017689
10,3472135.8896112
10,3506345.7635214
10,3533223.7040005
10,3545064.0983063
10,3550837.5423516
10,3553733.9953513
10,3555513.4580977
10,3557069.1639804
10,3558021.9454244
10,3558939.2679707
11,0
11,1669.6247440904
11,1313605.4047151
11,2014584.4929349
11,3101782.6158846
11,3291809.1072586
11,3354294.1137493
11,3386286.108029
11,3411773.2095309
11,3423483.6356168
11,3429553.8969047
11,3432374.8062151
11,3434201.7833591
11,3435653.5830404
11,3436512.5393052
11,3437357.2443866
12,0
12,1314.9292424339
12,424120.93957217
12,688057.47395806
12,1056617.4982773
12,1109627.9188151
12,1124215.4053008
12,1131889.4376326
12,1136367.6323986
12,1138274.449104
12,1139938.5133216
12,1141317.8114237
12,1141878.3808481
12,1142215.2795724
12,1142439.681294
12,1142574.5578158
13,0
13,884.56579056302
13,424711.81788545
13,690723.884181
13,1069984.3662747
13,1123977.6522652
13,1138325.8508377
13,1146272.0416748
13,1151795.5339579
13,1153704.3943179
13,1155491.4483072
13,1156704.5502855
13,1157183.8260913
13,1157697.6679193
13,1157898.8207549
13,1158059.2870144
14,0
14,1320.1023850915
14,257602.67877861
14,409103.32431283
14,622136.30549193
14,655274.99310536
14,664416.32119594
14,669040.43334555
14,672719.08863189
14,674037.35933399
14,675152.88667801
14,675784.95119127
14,676192.30426174
14,676432.83246417
14,676546.85054026
14,676723.89625699
15,0
15,707.46239287973
15,248041.06419447
15,391778.81981575
15,593283.46921028
15,623626.1847356
15,632133.68984476
15,636667.62385432
15,639830.12179105
15,640894.67330186
15,642078.19230133
15,642671.34098148
15,643076.45311714
15,643240.15358305
15,643347.82076317
15,643453.89005629
16,0
16,707.4623928274
16,249931.1670731
16,393208.8080961
16,593875.07157707
16,622867.37101442
16,631368.67803823
16,635838.03865686
16,638887.4261867
16,640036.18246966
16,641238.30688298
16,641864.32335888
16,642237.21950271
16,642356.0056584
16,642470.15859703
16,642593.33232452
17,0
17,1223.3780833404
17,67905.662228419
17,100223.49416084
17,141881.3791173
17,148224.73004004
17,150361.84772648
17,151431.82913109
17,152249.30550559
17,152518.89991749
17,152779.77733166
17,152883.84812228
17,152960.39756726
17,153015.30330282
17,153037.3311706
17,153062.40859416
18,0
18,1233.500483717
18,67889.038233253
18,100189.50722201
18,141870.83466129
18,148228.56011847
18,150371.22534524
18,151443.98421271
18,152263.18845561
18,152533.48268197
18,152795.03728299
18,152899.37822107
18,152976.12637346
18,153031.17463359
18,153053.25968142
18,153078.40220108
19,0
19,845.03494784975
19,27273.143628864
19,42713.424227455
19,62852.391382336
19,65806.610399796
19,66797.747285537
19,67280.844139987
19,67697.804355861
19,67788.875863707
19,67878.479185347
19,67910.396926721
19,67924.954470382
19,67934.85613305
19,67940.58372749
19,67960.088065627
20,0
20,745.93626840537
20,18491.328857756
20,29764.203318238
20,45030.414688199
20,47367.31589649
20,48110.602036098
20,48498.895207461
20,48880.527275617
20,48950.987229843
20,49021.32042027
20,49049.025054791
20,49055.256770529
20,49065.647017381
20,49071.657232241
20,49088.675759296
21,0
21,683.27383532123
21,12338.431763389
21,19581.682083914
21,30351.903702868
21,31957.757744202
21,32499.779203499
21,32760.648459097
21,33008.941456817
21,33046.665568828
21,33102.128969284
21,33121.715059908
21,33127.620030933
21,33137.465490703
21,33139.997923043
21,33149.240130406
22,0
22,687.60919974647
22,11858.879267025
22,18724.497109524
22,28895.66104945
22,30418.93861235
22,30952.196507158
22,31211.573956882
22,31458.35820451
22,31495.866587566
22,31549.347101478
22,31568.821187163
22,31574.692390044
22,31584.481547608
22,31586.99949799
22,31596.188852904
23,0
23,723.21965084332
23,11640.686058105
23,18327.256379746
23,28294.69848712
23,29750.10717989
23,30221.951760156
23,30467.968051909
23,30704.423520825
23,30738.741332726
23,30792.036838208
23,30811.443555991
23,30817.294448259
23,30827.049741588
23,30829.55898147
23,30838.716547082
24,0
24,721.48697319396
24,11612.797495435
24,18283.348242756
24,28226.910517577
24,29678.832366331
24,30149.546509174
24,30394.973399174
24,30630.862371997
24,30665.097965854
24,30718.265786847
24,30737.626010337
24,30743.462885134
24,30753.194806894
24,30755.69803518
24,30764.833661249
0,0
0,2214199.5318806
0,113092811.02048
0,157578032.97506
0,256341150.62922
0,276556649.69607
0,283183592.68976
0,286680734.57549
0,289650832.01764
0,290863159.59948
0,291637279.34437
0,292136063.3011
0,292516974.88942
0,292789918.44786
0,292995032.80239
0,293183958.45135
0,0
0,2214199.5318806
0,113092811.02048
0,157578032.97506
0,256341150.62922
0,276556649.69607
0,283183592.68976
0,286680734.57549
0,289650832.01764
0,290863159.59948
0,291637279.34437
0,292136063.3011
0,292516974.88942
0,292789918.44786
0,292995032.80239
0,293183958.45135
0,0
0,88119.128150424
0,38711693.414145
0,57417243.049641
0,96938699.773215
0,104473838.1436
0,106884833.4072
0,107986645.0734
0,108890496.94549
0,109282229.2434
0,109483798.89735
0,109614927.29612
0,109704058.94365
0,109755599.33523
0,109799264.49084
0,109818668.52538
1,0
1,71305.951583914
1,34938233.449972
1,51956094.297927
1,86878745.107116
1,93473190.925906
1,95542582.044175
1,96483367.908965
1,97257624.986893
1,97588218.911275
1,97749868.455711
1,97866383.034585
1,97949262.578943
1,97992041.316966
1,98032395.611584
1,98048916.694846
2,0
2,63317.343259297
2,24971228.444038
2,37670207.895788
2,62058526.332478
2,66637262.363467
2,68098632.63255
2,68774233.655426
2,69373430.119524
2,69651078.434369
2,69785451.351516
2,69862496.082402
2,69903203.221365
2,69938446.014291
2,69965454.583983
2,69978264.705841
3,0
3,49058.033212521
3,16194635.084323
3,24639448.628535
3,41294384.614431
3,44399217.991863
3,45391350.089188
3,45855643.813765
3,46277296.785136
3,46469632.535253
3,46565378.621207
3,46620647.48167
3,46656734.008582
3,46677170.695631
3,46691573.22202
3,46699270.122506
4,0
4,46702.69373711
4,18603005.440149
4,28202971.853847
4,46934365.934297
4,50431490.320394
4,51537629.295192
4,52064232.42709
4,52548604.534724
4,52773182.617672
4,52882707.083309
4,52947924.703023
4,52984129.168391
4,53007031.310597
4,53022851.590634
4,53031425.88272
5,0
5,41905.171061248
5,17970007.550561
5,27393107.779353
5,46050079.877695
5,49516559.0223
5,50603127.079566
5,51122949.588191
5,51598119.380491
5,51817448.047499
5,51924362.55029
5,51986874.560771
5,52026474.345068
5,52052109.543706
5,52068100.468994
5,52077783.550295
6,0
6,41458.337988222
6,17799754.922549
6,27112282.930673
6,45500114.393105
6,48922293.736616
6,49996757.211777
6,50509884.176744
6,50980617.462122
6,51198088.829453
6,51303863.307407
6,51366692.447619
